(...)	u
(GAN2)	iku[unit]
(x-x-x)	u
-bi	X
-gesz	X
-hul	X
-i3-ba-al-nu-ba-al	WN
-lugal	X
-sze3	X
-ta	X
...	AN|u
...-A	u
...-AB	PN
...-AD-AN-x-MI-sze3	PN
...-AN	u
...-AN-...	PN
...-AN-kam	u
...-AN-sze-ta	PN
...-AN-sze3	PN
...-AN-szu	PN
...-AN-x	PN
...-ARAD2	PN
...-ASZ	u
...-BI	u
...-BI-...	PN
...-BIL2	PN
...-DI	PN
...-DU	u
...-DU-a	u
...-DU-a-asz	u
...-DU-a-ta	u
...-DU-bi	u
...-DU-ta	u
...-DU-x	u
...-DUB	u
...-GAB-nu-um{ki}	GN
...-GAG	u
...-GAN	u
...-GIR2@g-gal	u
...-HA	u
...-HI	PN
...-HI-ra	PN
...-HI-ta	PN
...-HU	u
...-IGI-...-ga	u
...-IL2	u
...-KA	u|FN
...-KIN	u
...-KIN-ku5	MN
...-KU	u
...-KU-ta	u
...-KUR-RA	u
...-NE	u
...-NE-KA	u
...-NE-me	u
...-NE-na-a	u
...-NE-sze3	u
...-NE-x	u
...-NI	u
...-NI-lum-ma{ki}	u
...-NIG2	u
...-NIG2-a-ta	u
...-NIG2-ta	u
...-PA-a	u
...-PI	u
...-SAR	u
...-SAR-la-GAG	u
...-SZE3-...	u
...-SZE3-ta	u
...-SZUL	u
...-SZUL-ta	u
...-TAB-da	u
...-U-gar3	u
...-UD	u
...-UR-...	u
...-USZ	u
...-ZU	u
...-a	PN|DN|GN
...-a-...	PN
...-a-a	u
...-a-a-ta	DN
...-a-ah	u
...-a-ba	DN
...-a-ba-...	PN
...-a-bi	DN
...-a-bil2-ki-in	u
...-a-bu-ka	u
...-a-da	DN
...-a-da-nir	u
...-a-ga	u
...-a-ka-sze3	DN
...-a-kam	PN
...-a-me	PN
...-a-mu	DN
...-a-mu-bur2-re	PN
...-a-na	PN
...-a-nag	PN
...-a-ni	PN
...-a-ni-su	u
...-a-ra-gal2	u
...-a-sa6	u
...-a-sze3	PN
...-a-ta	PN
...-a-ti	u
...-a-x	PN
...-a-zi-da	u
...-a-zi-mu	PN
...-a-zi-mu2-a	u
...-a-zu	DN
...-a-zu-ta	DN
...-a2-dah	PN
...-a2-me	PN
...-a2-ta	PN
...-a2-zi-da	u
...-ab	u
...-ab-ba	PN
...-ab-ba{ki}	GN
...-ab-bi	u
...-ab-u2	u
...-ab2-zi	u
...-ad	PN
...-ad-da	PN
...-ad-mu	PN
...-ag2-dam	PN
...-ak	PN
...-ak-ke4	PN
...-al	u
...-al-...	u
...-al-la	PN
...-al-tum	u
...-al-x	u
...-am	u
...-am3	DN
...-ama-mu	PN
...-ama-tu-da	PN
...-amar-ku3	u
...-an-da	u
...-an-ka-x	u
...-an-ki-ta	u
...-an-ku3-ge	u
...-an-ku4	u
...-an-na	u
...-an-na-du11	u
...-an-zi	u
...-ar	PN
...-ar-tum	u
...-asz	PN
...-asz2	u
...-ba	DN
...-ba-...	u
...-ba-a	u
...-ba-ag2	u
...-ba-ak	u
...-ba-am3	DN
...-ba-ba	PN
...-ba-bi{ki}	GN
...-ba-bu-um	u
...-ba-e	u
...-ba-ka	DN
...-ba-lum	u
...-ba-me	PN
...-ba-mu	PN
...-ba-ni	u
...-ba-ni-hu	PN
...-ba-ni-ta	PN
...-ba-sag10	u
...-ba-ta	PN
...-ba-tuku	u
...-ba-x	u
...-babbar	u
...-babbar-ta	u
...-bala	PN
...-bala-esz	u
...-banda3{da}-sze3	u
...-bar	PN
...-bar-...	u
...-bar-ra	PN
...-bar-re	PN
...-bar-ta	PN
...-bar-tab	u
...-bara2	PN
...-bara2-si-ga	PN
...-bi	PN
...-bi-gesz	PN
...-bi-im	PN
...-bi-ke4	PN
...-bi-me	PN
...-bi-mu	PN
...-bi-sze3	PN
...-bi-ta	PN
...-bi-x	PN
...-bi2-du11-...{ki}	u
...-bi2-la-num2	u
...-bi2-ta	u
...-bil-la	PN
...-bil-li2	AN
...-bu-ba-ni	u
...-bu-um	u
...-bu-um{ki}-ma	u
...-bu-un-ke4	u
...-bu3	u
...-da	PN|FN
...-da-...	u
...-da-DU	u
...-da-NI	u
...-da-a	PN
...-da-a-KU	u
...-da-da	PN
...-da-ga	u
...-da-gal-ka	PN
...-da-gal2	PN
...-da-gan	u
...-da-gu-la	FN
...-da-lal3	u
...-da-mu	PN
...-da-mu-da-gal2	arad[slave]
...-da-ni	PN
...-da-ni-na2	PN
...-da-ni{zabar}	u
...-da-nu-me-a	PN
...-da-ra	PN
...-da-ri2-sza	PN
...-da-szu4-hu	u
...-da-ta	PN
...-da-tum3	PN
...-da-um	PN
...-da-um-mi	u
...-da-ur4-ra	u
...-da-x	PN
...-da-zi-da	u
...-dab5	u
...-dab5-e-ra	u
...-dag-ga	u
...-dah	PN
...-dalla	u
...-dalla-mu	PN
...-dam	u
...-dam-us2	PN
...-dan	u
...-dar	u
...-da{ki}	u
...-de3	u
...-di	u
...-dim2	u
...-dingir	u
...-dingir-ra	PN
